"","GSE13507_logFC","GSE13507_SE","GSE13507_logFC_scaled","GSE13507_SE_scaled","GSE3167_logFC","GSE3167_SE","GSE3167_logFC_scaled","GSE3167_SE_scaled","GSE37817_logFC","GSE37817_SE","GSE37817_logFC_scaled","GSE37817_SE_scaled","GSE52519_logFC","GSE52519_SE","GSE52519_logFC_scaled","GSE52519_SE_scaled","GSE65635_logFC","GSE65635_SE","GSE65635_logFC_scaled","GSE65635_SE_scaled","GSE7476_logFC","GSE7476_SE","GSE7476_logFC_scaled","GSE7476_SE_scaled","GSE76211_logFC","GSE76211_SE","GSE76211_logFC_scaled","GSE76211_SE_scaled"
"10001",0.207410225170284,0.14646384940131,0.509506319329099,0.322913183324042,1.07225531849892,0.217117522638554,1.61350645008583,0.341285262084193,0.102666666666666,0.168412779198999,0.259356772854484,0.342585023815795,0.342080551001835,0.17922534432863,0.482535618649029,0.248224487855078,0.311979905097102,0.261931856836157,0.305183307167743,0.248124405597884,0.107342552763764,0.222322193700861,0.197991579958641,0.325026614256759,-0.213515274381058,0.318574657483822,-0.443934013262163,0.733049765825351
"10002",0.176690027381978,0.0929515933920084,0.441776590111173,0.204933128822893,-0.562176202860565,0.134922439283202,-0.955643120833178,0.212083481297191,-0.0393333333333299,0.0307085060802217,-0.0294994149788593,0.0624671971858461,NA,NA,NA,NA,-0.0439717949257155,0.0460652487436932,-0.0320047884557837,0.0436369695588314,-0.0675815410230247,0.109036835527746,-0.0577408100876319,0.159407717650265,0.0872748145889917,0.0552625440273012,0.248192931246218,0.127160758103251
"10003",-1.02264276000866,0.154456051319162,-2.20242790010445,0.340533827418891,-0.101674285389137,0.0457278493297467,-0.231783914608973,0.0718792332069371,-1.08,0.197357355895153,-2.14642199341953,0.401464038484111,NA,NA,NA,NA,-1.51217714562879,0.134962864078923,-1.42281530054523,0.127848444369705,-0.263685156362685,0.0457423556360842,-0.344436857280841,0.0668735888803326,-0.352929358885103,0.172231211232862,-0.764729969869714,0.396309141660075
"100033413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.34951815892688,0.304528286502699,-3.05791045153402,0.700728648258329
"100033414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42313652420034,0.163418576532013,-0.39118226389283,0.154804145075876,NA,NA,NA,NA,-1.57418245782755,0.390881175564101,-3.57486968802576,0.899429215355442
"100033415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.47065294265525,0.339514917519527,-3.33664519316956,0.781233927229574
"100033416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0474156780375701,0.0370922246951731,-0.0352671310375493,0.0351369486551226,NA,NA,NA,NA,NA,NA,NA,NA
"100033417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.48304016477532,0.414652624472395,-3.36514855984054,0.954128026595438
"100033419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.48304016477532,0.414652624472395,-3.36514855984054,0.954128026595438
"100033420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.71138833733423,0.358087560081379,-3.89058449923086,0.823970130379742
