"","Gene_Symbol","Entrez","meta_effect_n","val_effect_n","meta_fdr_n","val_fdr_n","auc_n","significance_n","ppi_n","robustness_n","direction_bonus","biomarker_score"
"71","ST14","6768",0.774163038513126,0.968727807898896,0.216154459015333,0.489244994114144,0.920921338548457,0.391304347826087,0.022002200220022,0.0935251620046134,1,59.9806024529104
"72","GJB2","2706",0.724293200287237,0.426516360946787,0.340306577575809,0.0931884783446644,0.93413298565841,0.565217391304348,0,1,1,59.7785429371424
"73","KIF4A","24137",0.64390681953535,0.954174908120193,0.0904605744562643,0.475870455347277,0.995323772272925,0.391304347826087,1,0,1,59.7712441641916
"74","CCNE1","898",0.62172714499542,0.622320233647925,0.367650519910452,0.208478085805104,0.980373750543242,0.0869565217391304,0.528052805280528,1,1,59.5653182571695
"75","NT5DC2","64943",0.968759112550159,0.29734074134187,1,0.0377127709797213,0.216879617557584,1,0,1,1,59.5155435573967
"76","SLC39A4","55630",0.906266582392798,0.629400670413468,0.328450092451348,0.213301978604203,0.950126032159931,0.695652173913043,0,0.0915457969319513,1,59.266171091429
"77","CDKN3","1033",0.727508386516646,0.770449554630525,0.228752945706826,0.318171822392348,0.917792264232942,0.391304347826087,0.858085808580858,0.259212235685142,1,58.7523856344164
"78","LMNB1","4001",0.697190542278507,0.96699135587383,0.161421584159328,0.487639304298221,0.996714471968709,0.0869565217391304,0.594059405940594,0.133425071295188,1,58.1814738666407
"79","SLC16A3","9123",0.695171105896985,0.500302056747067,0.465584223203836,0.132363811549367,0.632698826597132,0.695652173913043,0.132013201320132,0.968360737772356,1,57.9934502946383
"80","SLC4A11","83959",0.819323002301298,0.40910827529276,0.466656418356509,0.0847286382510696,0.544041720990874,0.826086956521739,0.022002200220022,0.999999479902524,1,57.6745378633714
"81","REEP1","65055",0,0,0.533547835445341,1,0.875723598435463,0.695652173913043,0.022002200220022,1,1,57.3308786816699
"82","BCL2","596",0,0,1,0.461184627481288,0.830525858322469,0.695652173913043,0.484048404840484,0.999991098298448,1,56.9446149806873
"83","STIL","6491",0.705358950026351,0.827288888212993,0.136427755570514,0.364571762713768,0.985588874402434,0.391304347826087,0.594059405940594,0.00497213957572507,1,56.708393230303
"84","PGM5","5239",0,0,0.653540962194866,1,0.951864406779661,0.391304347826087,0.044004400440044,0.999976999025689,1,56.7072150474217
"85","NOVA1","4857",0,0,1,1,0.953255106475446,0.0434782608695652,0,0.999999534184919,1,56.5868366017929
"86","RAD51AP1","10635",0.706826232125515,0.765065535775821,0.142235023847136,0.31390949656837,0.962294654498045,0.391304347826087,0.902090209020902,0.0387293439465644,1,56.1153283260071
"87","SORCS1","114815",0,0,0.735929675241028,1,0.996019122120817,0.565217391304348,0.022002200220022,0.45783244560825,1,55.1784782977034
"88","AFF3","3899",0,0,0.727371422107969,1,0.961946979574098,0.391304347826087,0.022002200220022,0.7408247511904,1,55.1373029432547
"89","PDK4","5166",0,0,0.677715415568074,0.865717706944482,0.928222511951326,0.391304347826087,0.088008800880088,0.999991682379285,1,55.0452431095233
"90","TFRC","7037",0.752325999718074,0.622100754640063,0.271244201427459,0.208331576122515,0.744650152107779,0.695652173913043,0.22002200220022,0.305559213300976,1,54.9533711603361
"91","SYNM","23336",0,0,0.730349359000187,0.702541453594053,0.913620165145589,1,0.044004400440044,0.387837258470922,1,54.477478840072
