"","GSE76211_logFC","GSE76211_SE","GSE76211_logFC_scaled","GSE76211_SE_scaled"
"100128811",0.167615934466721,0.133852649665233,0.433060238575918,0.307998929567034
"100128822",0.0912837315151611,0.176687760207073,0.257417568375715,0.406563793451078
"100128881",0.092028292085323,0.0548264213722783,0.25913082440151,0.126157226897534
"100128885",0.0750592924869702,0.156396401630885,0.220084651425574,0.359872773612791
"100128905",-0.0375284163015825,0.219549817817862,-0.0389830164615136,0.505190663342564
"100128908",-0.0756270285218337,0.0634378584854446,-0.126649056776551,0.145972399921919
"100128927",0.0111450811640035,0.079966455781657,0.0730161494509872,0.184005194096783
"100128946",-0.0559562036838113,0.093575427224193,-0.0813859035333081,0.215319842311014
"100128977",0.0912734226535816,0.195111031573944,0.257393847378488,0.448956289037165
"100128988",0.00620599661353216,0.0643411209366357,0.0616511689415175,0.148050833698021
"100128993",0.0714613584076842,0.085184444451421,0.211805698055249,0.196011941283333
"100128998",0.0760985155881109,0.179283778643537,0.222475934702619,0.412537309116005
"100129027",0.0433382165659166,0.186208277109009,0.147093511893901,0.428470786118426
"100129029",0.0836825604440623,0.0267587757423461,0.239927047573851,0.0615727391708677
"100129032",0.161019235205726,0.144735547085273,0.417881037296425,0.333040800343171
"100129034",-0.262808395159383,0.441862706467649,-0.557358950853712,1.01673923488253
"100129046",-0.0074100499249381,0.130970201132257,0.0303202407210278,0.301366329727517
"100129055",0.0255828312971143,0.108818918770479,0.106237842091932,0.25039556991792
"100129060",0.0910372182503405,0.14607880865625,0.256850334018541,0.33613168518575
"100129066",0.0712431587125995,0.0814901735717459,0.211303614064488,0.187511314068882
"100129075",0.159194165735563,0.203026165860679,0.413681498141979,0.467169248539951
"100129128",0.0147540325142881,0.103124377216709,0.0813204538896903,0.237292260365791
"100129129",0.0695991613591174,0.123632825218075,0.207520727238191,0.28448280943075
"100129138",-0.0256768621390364,0.0599686542452107,-0.0117122376992007,0.137989657741516
"100129148",-0.0606048293193266,0.13615522574757,-0.0920825294370724,0.313297225643953
"100129175",-0.0379407330740902,0.1150785564123,-0.0399317696232365,0.264799182382673
"100129195",0.23798719734186,0.193041949398678,0.594986608296883,0.444195269387857
"100129196",0.0187683201909099,0.103313721728289,0.0905574492757801,0.237727947720743
"100129213",0.0329651682700902,0.144013957921341,0.123224819122767,0.331380402206607
"100129216",0.00981878327519814,0.0725533481505645,0.069964298545826,0.166947412866064
"100129223",0.274997623880809,0.1840585139466,0.680148700981079,0.423524117117097
"100129239",0.111552780830964,0.173016110114871,0.304057253942061,0.398115217341668
"100129269",0.506244735734329,0.462613031523641,1.21225518594409,1.06448635024706
"100129271",-0.132193550124025,0.0794267643634736,-0.25681030607852,0.182763348085421
"100129297",0.31531033735725,0.178807060504969,0.772909454165567,0.411440366494762
"100129316",-0.0223305546823722,0.130119462666053,-0.00401228467449442,0.299408755203682
"100129345",-0.0356369466677995,0.114054758007217,-0.0346306885548883,0.262443391790206
"100129347",0.0751688461167355,0.289227434069323,0.220336737587352,0.6655209315435
"100129354",0.0280076256940882,0.162454431475083,0.111817366147346,0.37381248053652
"100129361",-0.0659101186881177,0.498703488246454,-0.104290158129651,1.1475315650113
"100129387",0.198426345504982,0.209844642330386,0.50395591111612,0.48285876577551
"100129405",-0.0389453708362062,0.0694203424863924,-0.0422434710061246,0.15973827361252
"100129407",-0.104436466476293,0.165543017136581,-0.19294043071344,0.380919408042228
"100129424",0.27230587352429,0.321632211625997,0.673954903319674,0.740085288881775
"100129427",-0.0551388671736159,0.0961954298102058,-0.0795051879041008,0.221348546217683
"100129434",-0.0716531867078452,0.129703361155234,-0.117505128523817,0.298451293246493
"100129460",-0.151972691984886,0.185328517632304,-0.302322700014208,0.42644643338593
"100129461",-0.81249503164023,0.39058094795469,-1.8222042569185,0.898738382693133
"100129464",-0.0423680508177338,0.0879915022029614,-0.0501191594829499,0.20247106469157
"100129480",0.0865258762823635,0.257819146149243,0.246469601918558,0.593249526508845
"100129482",-0.462067067889416,0.19004034841773,-1.01585908560106,0.437288496220261
"100129518",0.133258805014004,0.0655545532596,0.354003461434052,0.15084297757795
"100129520",0.0836897772142517,0.11453265182515,0.239943653576786,0.26354303968465
"100129534",-0.0563164539890657,0.0454681267985608,-0.082214850204682,0.104623512634224
"100129543",0.540849974775661,0.319050815588621,1.29188287063168,0.734145419792228
"100129550",-0.157961678205607,0.337761631780236,-0.316103535505976,0.777199564575737
