"gene","significance_GSE13507","significance_GSE3167","significance_GSE37817","significance_GSE52519","significance_GSE65635","significance_GSE7476","significance_GSE76211","score"
"9253","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"9254","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9255","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"92552","not significant","not significant","not significant",NA,NA,"not significant","not significant",0
"92558","not significant","not significant","not significant",NA,NA,"not significant","not significant",0
"9256","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"92565","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"92579","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9258","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"92591","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"92595","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"92597","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"926","not significant","not significant",NA,NA,"not significant","not significant","not significant",0
"9260","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"92609","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9261","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"92610","not significant",NA,"not significant","not significant","not significant","significant","not significant",0.122448979591837
"9262","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9263","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9265","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"92659",NA,NA,NA,NA,"not significant","not significant","not significant",0
"9266","not significant","not significant","not significant","not significant","significant","significant","not significant",0.285714285714286
"92667","not significant",NA,"not significant","not significant","significant","significant","not significant",0.244897959183673
"9267","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"92675","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"92689","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"92691","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"9270","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"92703","not significant","not significant","not significant","not significant","not significant","not significant",NA,0
"9271","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"92714","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"92715","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"92736","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"92737","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"9274","not significant","not significant",NA,"not significant","not significant","not significant","not significant",0
"92745","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"92747","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"92749","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"9275","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9276","not significant","significant","not significant","not significant","significant","not significant","not significant",0.285714285714286
"9277","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9278","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"92797","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
